LINE_ITEM_ID,TRANSACTION_ID,PRODUCT_ID,SKU,QUANTITY,UNIT_PRICE,LINE_TOTAL,CREATED_AT
LINE-10001-1,OFF-10001,P310,TZ-SHOES-310,1,2499.00,2499.00,2026-09-03 13:37:07.361 -0700
LINE-10001-2,OFF-10001,P229,TZ-SHORTS-229,2,130.00,260.00,2026-09-03 13:37:07.361 -0700
LINE-10002-1,OFF-10002,P415,TZ-TSHIRT-415,2,799.00,1598.00,2026-09-03 13:37:07.361 -0700
LINE-10003-1,OFF-10003,P229,TZ-SHORTS-229,2,130.00,260.00,2026-09-04 01:11:36.273 -0700
LINE-10003-2,OFF-10003,P620,TZ-BELT-620,1,499.00,499.00,2026-09-04 01:11:37.221 -0700
LINE-10004-1,OFF-10004,P310,TZ-SHOES-310,1,2499.00,2499.00,2026-09-04 01:11:36.273 -0700
LINE-10004-2,OFF-10004,P620,TZ-BELT-620,1,499.00,499.00,2026-09-04 01:11:37.221 -0700
LINE-10005-1,OFF-10005,P415,TZ-TSHIRT-415,1,799.00,799.00,2026-09-04 01:11:36.273 -0700
LINE-10005-2,OFF-10005,P620,TZ-BELT-620,1,499.00,499.00,2026-09-04 01:11:37.221 -0700
LINE-10006-1,OFF-10006,P520,TZ-DRESS-520,2,1899.00,3798.00,2026-09-04 01:11:36.273 -0700
LINE-10006-2,OFF-10006,P620,TZ-BELT-620,1,499.00,499.00,2026-09-04 01:11:37.221 -0700
LINE-10007-1,OFF-10007,P620,TZ-BELT-620,1,499.00,499.00,2026-09-04 01:11:36.273 -0700
LINE-10007-2,OFF-10007,P229,TZ-SHORTS-229,1,130.00,130.00,2026-09-04 01:11:37.221 -0700
LINE-10008-1,OFF-10008,P710,TZ-JEANS-710,1,1799.00,1799.00,2026-09-04 01:11:36.273 -0700
LINE-10008-2,OFF-10008,P620,TZ-BELT-620,1,499.00,499.00,2026-09-04 01:11:37.221 -0700
LINE-10009-1,OFF-10009,P810,TZ-HANDBAG-810,2,2299.00,4598.00,2026-09-04 01:11:36.273 -0700
LINE-10009-2,OFF-10009,P620,TZ-BELT-620,1,499.00,499.00,2026-09-04 01:11:37.221 -0700
LINE-10010-1,OFF-10010,P910,TZ-SNEAKER-910,1,3199.00,3199.00,2026-09-04 01:11:36.273 -0700
LINE-10010-2,OFF-10010,P620,TZ-BELT-620,1,499.00,499.00,2026-09-04 01:11:37.221 -0700
LINE-10011-1,OFF-10011,P990,TZ-JACKET-990,1,2599.00,2599.00,2026-09-04 01:11:36.273 -0700
LINE-10011-2,OFF-10011,P620,TZ-BELT-620,1,499.00,499.00,2026-09-04 01:11:37.221 -0700
LINE-10012-1,OFF-10012,P229,TZ-SHORTS-229,2,130.00,260.00,2026-09-04 01:11:36.273 -0700
