TRANSACTION_ID,CUSTOMER_ID,STORE_ID,PURCHASE_TIMESTAMP,CURRENCY,SUBTOTAL,DISCOUNT,TAX,REVENUE,PAYMENT_METHOD,CHANNEL,CREATED_AT
OFF-10050,,STORE_BLR_01,2026-06-15 14:11:35.116 -0700,INR,799.00,79.90,0.00,719.10,CASH,offline_store,2026-09-04 01:11:35.116 -0700
OFF-10049,,STORE_MUM_01,2026-06-17 07:11:35.116 -0700,INR,2499.00,0.00,0.00,2499.00,CARD,offline_store,2026-09-04 01:11:35.116 -0700
OFF-10048,,STORE_BLR_01,2026-06-19 00:11:35.116 -0700,INR,260.00,0.00,0.00,260.00,UPI,offline_store,2026-09-04 01:11:35.116 -0700
OFF-10047,,STORE_MUM_01,2026-06-20 17:11:35.116 -0700,INR,2599.00,0.00,0.00,2599.00,CASH,offline_store,2026-09-04 01:11:35.116 -0700
OFF-10046,,STORE_BLR_01,2026-06-22 10:11:35.116 -0700,INR,3199.00,0.00,0.00,3199.00,CARD,offline_store,2026-09-04 01:11:35.116 -0700
OFF-10045,,STORE_MUM_01,2026-06-24 03:11:35.116 -0700,INR,4598.00,459.80,0.00,4138.20,UPI,offline_store,2026-09-04 01:11:35.116 -0700
OFF-10044,,STORE_BLR_01,2026-06-25 20:11:35.116 -0700,INR,1799.00,0.00,0.00,1799.00,CASH,offline_store,2026-09-04 01:11:35.116 -0700
OFF-10043,,STORE_MUM_01,2026-06-27 13:11:35.116 -0700,INR,499.00,0.00,0.00,499.00,CARD,offline_store,2026-09-04 01:11:35.116 -0700
OFF-10042,,STORE_BLR_01,2026-06-29 06:11:35.116 -0700,INR,3798.00,0.00,0.00,3798.00,UPI,offline_store,2026-09-04 01:11:35.116 -0700
OFF-10041,,STORE_MUM_01,2026-06-30 23:11:35.116 -0700,INR,799.00,0.00,0.00,799.00,CASH,offline_store,2026-09-04 01:11:35.116 -0700
OFF-10040,,STORE_BLR_01,2026-07-02 16:11:35.116 -0700,INR,2499.00,249.90,0.00,2249.10,CARD,offline_store,2026-09-04 01:11:35.116 -0700
OFF-10039,,STORE_MUM_01,2026-07-04 09:11:35.116 -0700,INR,260.00,0.00,0.00,260.00,UPI,offline_store,2026-09-04 01:11:35.116 -0700
OFF-10038,,STORE_BLR_01,2026-07-06 02:11:35.116 -0700,INR,2599.00,0.00,0.00,2599.00,CASH,offline_store,2026-09-04 01:11:35.116 -0700
OFF-10037,,STORE_MUM_01,2026-07-07 19:11:35.116 -0700,INR,3199.00,0.00,0.00,3199.00,CARD,offline_store,2026-09-04 01:11:35.116 -0700
OFF-10036,,STORE_BLR_01,2026-07-09 12:11:35.116 -0700,INR,4598.00,0.00,0.00,4598.00,UPI,offline_store,2026-09-04 01:11:35.116 -0700
OFF-10035,TZ_130,STORE_MUM_01,2026-07-11 05:11:35.116 -0700,INR,1799.00,179.90,0.00,1619.10,CASH,offline_store,2026-09-04 01:11:35.116 -0700
OFF-10034,TZ_129,STORE_BLR_01,2026-07-12 22:11:35.116 -0700,INR,499.00,0.00,0.00,499.00,CARD,offline_store,2026-09-04 01:11:35.116 -0700
OFF-10033,TZ_128,STORE_MUM_01,2026-07-14 15:11:35.116 -0700,INR,3798.00,0.00,0.00,3798.00,UPI,offline_store,2026-09-04 01:11:35.116 -0700
OFF-10032,TZ_127,STORE_BLR_01,2026-07-16 08:11:35.116 -0700,INR,799.00,0.00,0.00,799.00,CASH,offline_store,2026-09-04 01:11:35.116 -0700
OFF-10031,TZ_126,STORE_MUM_01,2026-07-18 01:11:35.116 -0700,INR,2499.00,0.00,0.00,2499.00,CARD,offline_store,2026-09-04 01:11:35.116 -0700
OFF-10030,TZ_125,STORE_BLR_01,2026-07-19 18:11:35.116 -0700,INR,260.00,26.00,0.00,234.00,UPI,offline_store,2026-09-04 01:11:35.116 -0700
OFF-10029,TZ_124,STORE_MUM_01,2026-07-21 11:11:35.116 -0700,INR,2599.00,0.00,0.00,2599.00,CASH,offline_store,2026-09-04 01:11:35.116 -0700
OFF-10028,TZ_123,STORE_BLR_01,2026-07-23 04:11:35.116 -0700,INR,3199.00,0.00,0.00,3199.00,CARD,offline_store,2026-09-04 01:11:35.116 -0700
OFF-10027,TZ_122,STORE_MUM_01,2026-07-24 21:11:35.116 -0700,INR,4598.00,0.00,0.00,4598.00,UPI,offline_store,2026-09-04 01:11:35.116 -0700
OFF-10026,TZ_121,STORE_BLR_01,2026-07-26 14:11:35.116 -0700,INR,1799.00,0.00,0.00,1799.00,CASH,offline_store,2026-09-04 01:11:35.116 -0700
